,,,
,,Time,Reaction
,,9.6833333333,-0.8206872361
,,9.7,-0.8210182743
,,9.7166666667,-0.8213810574
,,9.7333333333,-0.8217740283
,,9.75,-0.8221955604
,,9.7666666667,-0.8226439637
,,9.7833333333,-0.8231174904
,,9.8,-0.8236143413
,,9.8166666667,-0.8241326719
,,9.8333333333,-0.8246705987
,,9.85,-0.8252262058
,,9.8666666667,-0.8257975504
,,9.8833333333,-0.8263826701
,,9.9,-0.8269795883
,,9.9166666667,-0.8275863208
,,9.9333333333,-0.828200882
,,9.95,-0.8288212907
,,9.9666666667,-0.8294455764
,,9.9833333333,-0.8300717849
,,10,-0.8306979839
